zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,18,1996,109.632073697434,0
AL00,18,1997,139.9203280553208,0
AL00,18,1998,125.9743544051321,0
AL00,18,1999,217.4812785310189,0
AL00,18,2000,85.2299537128302,0
AL00,18,2001,97.97367056875473,0
AL00,18,2002,102.1672079193962,0
AL00,18,2003,237.4180198249812,0
AL00,18,2004,156.2718411104151,0
AL00,18,2005,136.1278849082264,0
AL00,18,2006,156.6534448027925,0
AL00,18,2007,94.19866630007549,0
AL00,18,2008,73.6443835469434,0
AL00,18,2009,75.06206178045285,0
AL00,18,2010,200.2373052276227,0
AL00,18,2011,83.12395269011321,0
AL00,18,2012,91.43614279584908,0
AL00,18,2013,192.3292867745661,0
AL00,18,2014,76.69823890233964,0
AL00,18,2015,181.9921351399246,0
AL00,18,2016,126.1046330850566,0
AL00,18,2017,103.042229289283,0
AL00,19,1982,170.6568641701132,0
AL00,19,1983,127.8823728670189,0
AL00,19,1984,145.5048724136604,0
AL00,19,1985,166.9085311272453,0
AL00,19,1986,223.0535130928302,0
AL00,19,1987,119.1260042698868,0
AL00,19,1988,130.8798083216604,0
AL00,19,1989,150.1548980522265,0
AL00,19,1990,84.33646764815096,0
AL00,19,1991,130.4099844208302,0
AL00,19,1992,125.4193877449812,0
AL00,19,1993,114.3733969935849,0
AL00,19,1994,131.0470163911698,0
AL00,19,1995,187.7982558357736,0
AL00,19,1996,193.9993158369057,0
AL00,19,1997,239.2921863464151,0
AL00,19,1998,107.0572745902642,0
AL00,19,1999,187.6454091955472,0
AL00,19,2000,112.5064111867925,0
AL00,19,2001,108.7139680396981,0
AL00,19,2002,84.37134540498116,0
AL00,19,2003,189.8816888981887,0
AL00,19,2004,187.5746278655095,0
AL00,19,2005,139.0576164819623,0
AL00,19,2006,158.5686439793208,0
AL00,19,2007,115.1294236636981,0
AL00,19,2008,89.84920486007547,0
AL00,19,2009,84.49752081939623,0
AL00,19,2010,185.2275599941132,0
AL00,19,2011,60.32518370332077,0
AL00,19,2012,112.9095570230944,0
